tran_date,amount,gender,member
2021-12-25,10000,male,yes
2021-6-26,2000,male,yes
2022-12-13,2000,male,yes
2022-6-17,1000,male,yes
2023-4-21,1000,male,yes
2021-7-15,4000,male,yes
2021-7-15,2000,male,yes
2021-9-6,5000,male,yes
2021-10-26,2000,male,yes
2021-10-26,2500,male,yes
2021-12-1,2000,male,yes
2021-12-1,2000,male,yes
2021-12-23,3000,male,yes
2021-5-15,9000,male,yes
2021-5-17,3000,male,yes
2021-5-17,2000,male,yes
2021-5-25,3000,male,yes
2021-5-20,2000,male,yes
2021-5-20,2000,male,yes
2021-11-9,4000,male,yes
2021-11-9,2000,male,yes
2021-6-1,2000,male,yes
2021-6-8,2000,male,yes
2021-6-29,2000,male,yes
2021-6-29,1000,male,yes
2021-6-1,1000,male,yes
2021-6-1,1000,male,yes
2021-8-10,5000,male,yes
2022-2-3,2000,male,yes
2022-2-3,3000,male,yes
2022-2-3,3000,male,yes
2022-2-24,2000,male,yes
2022-2-24,2000,male,yes
2022-5-30,3000,male,yes
2022-5-30,2000,male,yes
2022-11-29,10000,male,yes
2022-11-29,2000,male,yes
2022-1-19,9000,male,yes
2022-1-19,2000,male,yes
2022-1-21,3000,male,yes
2022-1-21,2000,male,yes
2022-1-24,3000,male,yes
2022-1-24,2000,male,yes
2022-3-8,2000,male,yes
2022-3-8,3000,male,yes
2022-3-8,3000,male,yes
2022-4-21,5000,male,yes
2021-7-11,4000,male,no
2021-9-1,4000,male,no
2021-9-20,2000,male,no
2021-9-25,5000,male,no
2021-6-30,1000,male,no
2021-4-26,500,male,no
2022-7-8,2000,male,no
2022-7-11,1000,male,no
2022-9-2,4000,male,no
2022-9-20,500,male,no
2022-12-14,2000,male,no
2017-6-23,7850,female,yes
2017-6-14,30000,female,yes
2017-12-25,4200,female,yes
2018-1-25,700,female,yes
2021-7-8,1000,female,yes
2021-6-11,10000,female,yes
2021-6-21,5000,female,yes
2022-2-11,1000,female,yes
2022-2-25,300,female,yes
2023-2-3,10000,female,yes
2022-12-21,1000,male,no
2022-11-22,1000,male,no
2022-4-29,3300,male,no
2023-7-21,1000,male,no
2023-2-21,1000,male,no
2023-5-23,1000,male,no
2023-1-21,1000,male,no
2023-6-21,1000,male,no
2023-3-21,1000,male,no
2023-4-21,1000,male,no
2017-5-19,3000,male,yes
2019-5-17,2000,male,yes
2020-10-31,3000,male,yes
2021-5-8,3000,male,yes
2022-10-22,3000,male,yes
2022-3-12,3000,male,yes
2014-11-6,1000,male,yes
2015-1-16,1000,male,yes
2015-10-30,1000,male,yes
2016-1-11,1000,male,yes
2016-6-1,1000,male,yes
2016-10-31,1000,male,yes
2017-10-30,1000,male,yes
2018-10-30,1846,male,yes
2019-9-13,1000,male,yes
2019-1-15,1000,male,yes
2019-6-1,1000,male,yes
2020-10-29,2000,male,yes
2020-1-10,1000,male,yes
2021-1-15,1000,male,yes
2022-10-27,1625,male,yes
2022-6-15,1000,male,yes
2013-11-21,5000,female,no
2014-12-24,10000,female,no
2015-12-17,10000,female,no
2017-12-18,10000,female,no
2018-4-20,2200,female,no
2018-12-20,10000,female,no
2019-12-24,5000,female,no
2021-7-20,10000,female,no
2018-5-4,10000,female,no
2019-1-23,2200,female,no
2019-3-27,1800,female,no
2020-3-10,10000,female,no
2020-4-2,5000,female,no
2013-11-15,10000,male,yes
2015-11-17,10000,male,yes
2016-11-15,5000,male,yes
2018-11-1,5000,male,yes
2020-12-16,5000,male,yes
2022-1-5,5000,male,yes
2013-9-18,1000,male,yes
2013-9-18,1000,male,yes
2019-12-27,1000,male,yes
2019-12-27,1000,male,yes
2019-12-27,1000,male,yes
2019-12-27,1000,male,yes
2019-12-27,1000,male,yes
2022-8-19,1000,male,yes
2022-8-19,2000,male,yes
2022-8-19,2000,male,yes
2015-2-20,1000,female,yes
2015-9-29,1000,female,yes
2016-5-11,500,female,yes
2017-9-21,500,female,yes
2017-12-26,500,female,yes
2018-1-15,500,female,yes
2018-8-14,2000,female,yes
2019-7-26,1000,female,yes
2019-12-3,500,female,yes
2020-5-19,500,female,yes
2020-4-7,500,female,yes
2021-10-27,1000,female,yes
2021-5-12,500,female,yes
2021-11-22,500,female,yes
2021-4-8,1000,female,yes
2021-8-10,500,female,yes
2022-10-26,500,female,yes
2022-3-4,500,female,yes
2022-4-27,500,female,yes
2022-8-19,1000,female,yes
2023-4-26,500,female,yes
2015-6-12,10000,male,no
2015-8-20,5000,male,no
2015-12-1,5000,male,no
2016-2-1,5000,male,no
2016-4-26,5000,male,no
2016-8-22,5000,male,no
2016-12-7,2500,male,no
2016-12-7,2500,male,no
2017-12-4,5000,male,no
2013-11-7,500,female,yes
2013-11-7,5000,female,yes
2014-4-24,100,female,yes
2014-12-17,100,female,yes
2015-1-29,100,female,yes
2015-3-26,100,female,yes
2015-9-25,250,female,yes
2015-9-25,250,female,yes
2015-12-14,250,female,yes
2016-2-19,1000,female,yes
2019-2-7,500,female,yes
2019-12-19,500,female,yes
2019-12-19,500,female,yes
2020-4-17,2000,female,yes
2020-8-25,100,female,yes
2020-8-25,100,female,yes
2021-7-14,1000,female,yes
2021-7-29,2000,female,yes
2021-3-22,500,female,yes
2023-2-4,100,female,yes
2014-10-18,100,female,yes
2015-3-10,100,female,yes
2015-4-4,100,female,yes
2015-7-1,100,female,yes
2015-10-3,100,female,yes
2015-12-19,100,female,yes
2016-1-16,200,female,yes
2016-2-4,100,female,yes
2016-4-26,100,female,yes
2016-5-31,100,female,yes
2016-6-7,100,female,yes
2016-7-2,100,female,yes
2016-7-12,100,female,yes
2016-10-22,100,female,yes
2016-11-22,100,female,yes
2017-3-14,100,female,yes
2017-3-14,100,female,yes
2017-4-22,100,female,yes
2017-5-6,100,female,yes
2017-5-16,100,female,yes
2017-6-3,100,female,yes
2017-9-5,100,female,yes
2017-9-26,100,female,yes
2017-9-26,100,female,yes
2017-9-5,100,female,yes
2017-9-26,100,female,yes
2017-11-4,300,female,yes
2018-1-16,100,female,yes
2018-1-16,100,female,yes
2018-2-24,100,female,yes
2018-2-24,100,female,yes
2018-6-9,200,female,yes
2018-7-17,100,female,yes
2018-7-17,100,female,yes
2018-10-6,500,female,yes
2018-10-10,200,female,yes
2018-12-4,300,female,yes
2019-9-14,100,female,yes
2019-11-5,100,female,yes
2019-11-16,200,female,yes
2019-11-26,100,female,yes
2019-8-3,100,female,yes
2019-8-23,200,female,yes
2020-7-4,500,female,yes
2020-2-18,200,female,yes
2020-10-24,300,female,yes
2020-5-9,300,female,yes
2020-3-13,400,female,yes
2020-8-4,200,female,yes
2021-5-31,200,female,yes
2021-6-28,200,female,yes
2022-11-26,500,female,yes
2022-4-9,1000,female,yes
2022-8-6,500,female,yes
2023-1-30,1000,female,yes
2015-6-24,5000,female,no
2017-12-14,1000,female,no
2019-4-19,10000,female,no
2020-5-27,500,female,no
2020-5-27,2000,female,no
2020-4-17,10000,female,no
2021-7-27,10000,female,no
2021-7-27,2000,female,no
2021-5-7,5000,female,no
2021-5-7,5000,female,no
2021-5-13,1000,female,no
2015-8-28,1000,female,no
2016-3-31,1000,female,no
2016-3-10,500,female,no
2016-3-10,500,female,no
2016-11-29,1000,female,no
2017-2-23,900,female,no
2017-6-8,1000,female,no
2017-8-28,1000,female,no
2017-8-28,1000,female,no
2017-8-1,1000,female,no
2017-12-4,1000,female,no
2018-1-3,1000,female,no
2018-2-2,1000,female,no
2018-5-22,500,female,no
2018-5-1,500,female,no
2020-8-28,1000,female,no
2020-10-5,3000,female,no
2020-11-26,9500,female,no
2020-11-26,9500,female,no
2020-4-14,2300,female,no
2023-5-30,5000,female,no
2021-8-4,2000,female,no
2022-2-28,5000,female,no
2022-5-23,5000,female,no
2022-8-4,5000,female,no
2023-3-1,5000,female,no
2015-11-19,1000,female,yes
2021-7-13,700,female,yes
2021-4-5,1000,female,yes
2022-11-11,2000,female,yes
2022-8-17,2000,female,yes
2023-7-21,3000,female,yes
2023-2-9,6000,female,yes
2021-5-4,20000,female,no
2022-10-20,500,female,no
2022-12-21,500,female,no
2022-11-22,500,female,no
2023-7-21,500,female,no
2023-2-21,500,female,no
2023-5-23,500,female,no
2023-1-21,500,female,no
2023-6-21,500,female,no
2023-3-21,500,female,no
2023-4-21,500,female,no
2018-10-11,2000,female,yes
2019-12-16,10000,female,yes
2019-5-23,5000,female,yes
2020-12-14,5000,female,yes
2020-12-18,5000,female,yes
2020-4-9,1000,female,yes
2021-5-27,4000,female,yes
2018-7-16,1000,female,yes
2019-8-24,2000,female,yes
2020-6-13,3000,female,yes
2021-2-13,2000,female,yes
2022-3-4,10000,female,yes
2016-12-30,1000,male,yes
2016-12-30,1000,male,yes
2016-12-30,2000,male,yes
2016-12-30,1000,male,yes
2021-7-11,5000,male,yes
2013-10-5,100000,male,no
2014-5-29,100000,male,no
2016-12-28,20000,male,no
2017-4-21,10000,male,no
2017-12-12,524000,male,no
2019-9-23,4000,male,no
2019-12-9,100000,male,no
2021-5-5,10000,male,no
2021-6-21,20000,male,no
2016-2-8,1000,male,no
2017-3-18,1000,male,no
2017-3-18,1000,male,no
2018-3-24,1000,male,no
2018-3-24,1000,male,no
2018-9-1,1000,male,no
2018-9-1,1000,male,no
2019-12-17,1000,male,no
2019-12-17,1000,male,no
2021-9-27,1000,male,no
2021-9-27,1000,male,no
2013-11-13,500,female,yes
2013-11-13,1000,female,yes
2014-5-1,1000,female,yes
2014-5-1,1000,female,yes
2015-3-11,1000,female,yes
2015-3-11,2000,female,yes
2015-10-14,1000,female,yes
2015-12-15,1000,female,yes
2016-3-9,2000,female,yes
2016-5-11,1000,female,yes
2016-8-3,1000,female,yes
2016-11-8,1000,female,yes
2016-11-8,1000,female,yes
2018-4-27,1000,female,yes
2018-8-8,1000,female,yes
2019-2-13,1000,female,yes
2019-6-8,1000,female,yes
2019-8-1,1000,female,yes
2020-2-25,1000,female,yes
2020-4-29,1000,female,yes
2021-5-7,1000,female,yes
2021-3-3,1000,female,yes
2022-12-19,1000,female,yes
2022-12-19,1000,female,yes
2022-3-11,1000,female,yes
2022-3-11,1000,female,yes
2022-8-3,1000,female,yes
2018-4-25,2000,female,no
2019-11-26,3000,female,no
2020-4-10,5000,female,no
2021-7-1,5000,female,no
2022-10-7,2000,female,no
2022-12-19,5000,female,no
2022-1-31,2000,female,no
2021-7-6,500,female,no
2022-7-21,1000,female,no
2022-9-23,1000,female,no
2022-10-20,1000,female,no
2022-12-21,1000,female,no
2022-5-23,1000,female,no
2022-11-22,1000,female,no
2022-6-22,1000,female,no
2022-8-29,1000,female,no
2023-7-21,1000,female,no
2023-2-21,1000,female,no
2023-2-21,1000,female,no
2023-5-23,1000,female,no
2023-1-21,1000,female,no
2023-1-21,1000,female,no
2023-6-21,1000,female,no
2023-3-21,1000,female,no
2023-3-21,1000,female,no
2023-4-21,1000,female,no
2023-4-21,1000,female,no
2017-12-20,4000,male,no
2021-7-29,2000,male,no
2021-6-17,5000,male,no
2022-7-30,3000,male,no
2022-5-2,4000,male,no
2017-4-18,3000,male,no
2019-12-26,30000,male,no
2020-12-29,30000,male,no
2022-12-29,30000,male,no
2022-5-2,10000,male,no
2018-4-10,10000,male,no
2019-12-26,10000,male,no
2019-12-26,10000,male,no
2019-6-11,10000,male,no
2020-12-21,10000,male,no
2020-12-21,10000,male,no
2021-11-23,10000,male,no
2021-11-23,10000,male,no
2022-12-26,10000,male,no
2022-12-26,10000,male,no
2020-3-28,3000,male,yes
2021-7-21,20000,male,yes
2021-6-11,100000,male,yes
2021-6-15,20000,male,yes
2021-6-21,20000,male,yes
2021-4-26,100000,male,yes
2020-7-24,3200,male,yes
2020-9-11,3200,male,yes
2020-10-12,3200,male,yes
2020-12-15,3200,male,yes
2020-11-17,3200,male,yes
2020-6-19,3200,male,yes
2021-2-10,3200,male,yes
2021-12-28,3200,male,yes
2021-12-30,3200,male,yes
2021-11-9,3200,male,yes
2021-11-9,3200,male,yes
2021-11-9,3200,male,yes
2021-11-9,3200,male,yes
2021-11-9,3200,male,yes
2021-11-27,3200,male,yes
2021-3-8,3200,male,yes
2022-3-22,3200,male,yes
2015-10-20,2850,female,yes
2016-6-27,199,female,yes
2017-8-21,19999,female,yes
2018-1-17,8750,female,yes
2018-9-21,2093,female,yes
2018-9-28,299,female,yes
2018-10-1,600,female,yes
2019-7-6,550,female,yes
2019-9-3,200,female,yes
2019-4-5,19999,female,yes
2022-12-9,19999,female,yes
2022-6-23,598,female,yes
2023-2-9,30000,female,yes
2014-10-2,10000,female,yes
2015-6-20,3000,female,yes
2015-8-18,1000,female,yes
2016-7-14,1500,female,yes
2017-2-23,3000,female,yes
2017-6-24,2000,female,yes
2017-6-24,1250,female,yes
2017-6-28,21000,female,yes
2017-12-15,1000,female,yes
2018-3-30,2000,female,yes
2018-7-20,3000,female,yes
2019-11-2,1000,female,yes
2019-8-9,2000,female,yes
2019-8-9,1000,female,yes
2020-9-9,2000,female,yes
2023-2-10,1000,female,yes
2023-2-10,1000,female,yes
2019-7-23,2190,female,yes
2021-7-1,10000,female,yes
2021-4-9,500,female,yes
2022-7-1,5500,female,yes
2022-7-1,500,female,yes
2022-7-1,5000,female,yes
2022-3-4,13000,female,yes
2023-7-6,5000,female,yes
2021-7-17,5000,female,yes
2021-5-29,5000,female,yes
2022-2-17,5000,female,yes
2022-4-27,5000,female,yes
2023-1-18,10000,female,yes
2023-1-18,10000,female,yes
2015-11-16,100,female,yes
2017-8-8,500,female,yes
2021-5-11,200000,female,yes
2023-1-24,1000,female,yes
2023-1-24,1000,female,yes
2023-1-24,1000,female,yes
2023-3-8,2000,female,yes
2016-12-20,10000,female,no
2017-9-18,10000,female,no
2018-12-21,10000,female,no
2019-12-12,10000,female,no
2020-10-20,10000,female,no
2021-7-30,10000,female,no
2014-8-15,1000,female,yes
2014-8-18,1000,female,yes
2014-9-8,1000,female,yes
2015-2-20,1100,female,yes
2015-3-13,1000,female,yes
2015-8-7,1000,female,yes
2015-10-9,1000,female,yes
2016-8-15,500,female,yes
2017-3-10,500,female,yes
2017-3-10,500,female,yes
2017-3-10,500,female,yes
2017-5-19,1000,female,yes
2017-8-23,1000,female,yes
2017-8-23,500,female,yes
2017-12-25,500,female,yes
2018-8-15,500,female,yes
2019-12-9,500,female,yes
2019-6-14,1000,female,yes
2019-8-9,1000,female,yes
2019-8-9,1000,female,yes
2020-2-7,500,female,yes
2020-6-15,10000,female,yes
2020-3-29,2000,female,yes
2021-11-16,5000,female,yes
2019-2-26,200,female,yes
2019-12-26,1000,female,yes
2020-9-10,500,female,yes
2020-10-16,1000,female,yes
2020-12-21,1000,female,yes
2020-12-28,6500,female,yes
2020-11-25,1000,female,yes
2021-2-5,1000,female,yes
2015-12-17,5000,female,no
2017-12-19,1000,female,no
2019-9-25,500,female,no
2019-12-24,3000,female,no
2020-5-13,3000,female,no
2021-7-20,3000,female,no
2014-12-24,3000,female,no
2015-12-17,3000,female,no
2017-12-18,400,female,no
2018-12-20,3000,female,no
2021-7-20,3000,female,no
2016-2-2,1000,male,no
2016-8-22,2000,male,no
2017-7-24,5000,male,no
2018-10-9,3000,male,no
2018-10-9,2000,male,no
2020-4-20,10000,male,no
2013-7-25,4000,male,no
2013-7-25,7200,male,no
2014-7-9,7200,male,no
2015-7-15,7200,male,no
2016-7-13,7200,male,no
2017-7-7,7200,male,no
2018-7-4,7200,male,no
2019-7-12,10000,male,no
2020-7-9,7000,male,no
2020-8-5,3000,male,no
2021-7-7,5000,male,no
2021-7-20,5000,male,no
2019-6-20,5000,male,no
2019-6-21,5000,male,no
2019-6-22,10000,male,no
2019-6-24,10000,male,no
2021-6-18,30000,male,no
2021-4-24,50000,male,no
2013-10-30,5000,male,no
2014-10-27,5000,male,no
2015-10-22,5000,male,no
2016-10-19,5000,male,no
2017-10-24,5000,male,no
2018-11-5,5000,male,no
2019-11-1,5000,male,no
2021-1-30,5000,male,no
2019-7-1,1000,male,no
2020-5-13,5000,male,no
2020-5-20,10000,male,no
2021-12-13,10000,male,no
2022-1-5,5980,male,no
2022-6-10,20000,male,no
2021-5-19,5000,male,no
2021-6-2,19999,male,no
2021-4-16,19999,male,no
2022-2-19,39998,male,no
2022-1-4,19999,male,no
2023-2-4,39998,male,no
2018-11-10,2000,male,yes
2019-12-16,10000,male,yes
2019-12-23,2000,male,yes
2019-12-23,2000,male,yes
2020-1-3,5000,male,yes
2021-12-8,2000,male,yes
2021-12-8,2000,male,yes
2019-7-15,5000,male,no
2020-5-14,5000,male,no
2021-4-23,5000,male,no
2022-5-2,5000,male,no
2023-3-13,5000,male,no
2015-12-25,1000,female,yes
2016-12-28,1000,female,yes
2017-6-27,1000,female,yes
2017-9-19,1000,female,yes
2017-12-29,1000,female,yes
2018-7-26,1000,female,yes
2018-8-27,600,female,yes
2018-12-28,2000,female,yes
2019-7-19,2000,female,yes
2019-12-26,1000,female,yes
2019-12-26,1000,female,yes
2019-4-30,1000,female,yes
2020-9-3,1000,female,yes
2020-12-24,1000,female,yes
2021-12-30,1000,female,yes
2021-12-30,1000,female,yes
2014-11-6,2000,female,yes
2014-11-6,1000,female,yes
2015-11-9,1000,female,yes
2016-11-7,2000,female,yes
2017-11-20,2000,female,yes
2018-11-2,2000,female,yes
2019-12-26,3000,female,yes
2020-4-29,3000,female,yes
2021-11-4,3000,female,yes
2021-6-10,2000,female,yes
2022-6-9,2000,female,yes
2014-12-29,10000,female,no
2015-5-7,10000,female,no
2018-12-17,10000,female,no
2019-8-9,200,female,no
2021-7-13,500,female,no
2022-11-26,20000,female,no
2015-1-30,5000,female,no
2015-8-13,5000,female,no
2016-4-27,2000,female,no
2018-2-21,2000,female,no
2019-2-18,1000,female,no
2020-11-11,2000,female,no
2019-6-21,2000,female,no
2019-4-19,5000,female,no
2020-4-17,2000,female,no
2021-5-1,3000,female,no
2021-5-7,5000,female,no
2014-5-1,1000,female,no
2015-10-15,30000,female,no
2019-10-28,5000,female,no
2021-10-15,10000,female,no
2016-7-21,10000,male,yes
2017-7-19,10000,male,yes
2018-7-4,10000,male,yes
2020-7-8,10000,male,yes
2021-9-25,10000,male,yes
2022-9-16,10000,male,yes
2023-7-18,10000,male,yes
2020-3-28,2500,female,no
2021-7-9,10000,female,no
2022-8-2,10000,female,no
2023-7-21,10000,female,no
2023-5-23,10000,female,no
2023-6-21,10000,female,no
2023-4-21,10000,female,no
2020-4-12,1000,male,yes
2021-7-6,1000,male,yes
2021-7-27,1000,male,yes
2021-10-4,1000,male,yes
2021-12-4,1000,male,yes
2021-12-27,1000,male,yes
2021-8-30,1000,male,yes
2022-2-2,1000,male,yes
2022-9-2,1000,male,yes
2022-5-24,495,male,yes
2022-5-24,594,male,yes
2022-6-2,1000,male,yes
2022-3-3,1000,male,yes
2022-4-1,1000,male,yes
2022-4-20,600,male,yes
2022-4-20,400,male,yes
2022-8-4,1000,male,yes
2023-2-4,1000,male,yes
2023-2-28,1000,male,yes
2023-1-4,2000,male,yes
2013-12-18,5000,male,yes
2017-12-13,5000,male,yes
2019-10-4,1000,male,yes
2019-12-12,2000,male,yes
2020-5-5,5000,male,yes
2021-6-1,4000,male,yes
2023-1-18,1000,male,yes
2020-4-11,5000,female,no
2021-7-14,2000,female,no
2021-12-27,3000,female,no
2022-9-16,2000,female,no
2022-12-29,3000,female,no
2023-1-3,3000,female,no
2014-12-20,4000,male,no
2014-12-24,1000,male,no
2015-12-17,1000,male,no
2017-12-18,1000,male,no
2018-12-20,2000,male,no
2016-1-6,10000,female,yes
2017-1-23,10000,female,yes
2018-1-3,10000,female,yes
2019-8-30,10000,female,yes
2020-12-16,10000,female,yes
2021-10-27,10000,female,yes
2018-2-12,500,female,yes
2019-5-3,500,female,yes
2019-5-3,500,female,yes
2019-3-4,500,female,yes
2019-3-4,500,female,yes
2019-3-4,500,female,yes
2020-10-28,500,female,yes
2020-10-28,500,female,yes
2020-10-28,500,female,yes
2020-3-27,500,female,yes
2021-9-13,500,female,yes
2021-9-13,500,female,yes
2021-9-13,500,female,yes
2021-9-13,500,female,yes
2021-3-29,500,female,yes
2021-3-29,500,female,yes
2021-3-29,500,female,yes
2021-3-29,500,female,yes
2022-12-16,500,female,yes
2022-12-16,500,female,yes
2022-12-16,500,female,yes
2022-1-31,500,female,yes
2022-1-31,500,female,yes
2022-1-31,200,female,yes
2022-1-31,500,female,yes
2022-1-31,500,female,yes
2017-12-18,5000,female,no
2018-12-20,5000,female,no
2021-7-20,3000,female,no
2021-6-25,3000,female,no
2020-9-2,2500,male,no
2020-3-30,10000,male,no
2021-9-13,2500,male,no
2021-12-27,2000,male,no
2022-9-28,3000,male,no
2023-6-21,10000,male,no
2013-10-3,500,female,yes
2013-10-11,1000,female,yes
2013-10-11,500,female,yes
2020-3-29,4000,female,yes
2014-7-31,2000,female,no
2014-11-20,2000,female,no
2015-4-9,1000,female,no
2016-1-20,1000,female,no
2016-1-20,1000,female,no
2016-7-4,800,female,no
2018-6-12,2000,female,no
2022-2-4,2000,female,no
2023-6-27,2000,female,no
2013-8-28,9000,female,yes
2018-6-1,700000,female,yes
2019-6-6,700000,female,yes
2020-12-25,20000,female,yes
2020-6-5,600000,female,yes
2021-7-15,200000,female,yes
2021-4-28,10000,female,yes
2017-6-26,350,female,yes
2017-6-26,700,female,yes
2017-6-26,1800,female,yes
2017-6-26,1350,female,yes
2017-6-27,6400,female,yes
2020-4-27,20000,female,yes
2014-12-24,5000,female,no
2015-12-17,5000,female,no
2017-12-18,5000,female,no
2018-12-20,5000,female,no
2019-12-24,5000,female,no
2020-4-21,1500,female,no
2021-7-21,10000,female,no
2020-11-17,5000,female,yes
2021-9-25,50000,female,yes
2021-11-23,10000,female,yes
2021-6-5,10000,female,yes
2021-3-3,5000,female,yes
2022-12-13,10000,female,yes
2022-11-25,10000,female,yes
2022-1-15,10000,female,yes
2022-4-29,10000,female,yes
2022-8-20,10000,female,yes
2023-4-26,10000,female,yes
2016-10-28,2000,male,yes
2016-12-23,2000,male,yes
2017-1-27,2000,male,yes
2017-1-27,2000,male,yes
2017-4-28,700,male,yes
2017-6-23,500,male,yes
2017-9-22,1500,male,yes
2018-12-7,20000,male,yes
2019-7-12,3000,male,yes
2019-7-26,1500,male,yes
2019-2-22,1500,male,yes
2019-10-25,1000,male,yes
2019-4-26,500,male,yes
2019-8-23,1500,male,yes
2020-7-3,1000,male,yes
2020-10-30,500,male,yes
2020-12-4,1000,male,yes
2020-1-3,3700,male,yes
2021-9-17,2000,male,yes
2021-10-29,1000,male,yes
2021-11-26,1000,male,yes
2021-1-22,1000,male,yes
2021-3-5,1000,male,yes
2022-1-21,19999,male,yes
2019-12-27,10000,female,yes
2020-4-9,4000,female,yes
2021-12-14,1000,female,yes
2021-5-27,2000,female,yes
2022-12-29,1000,female,yes
2014-12-24,500,female,no
2016-1-11,1000,female,no
2016-4-30,500,female,no
2017-5-11,600,female,no
2017-7-7,500,female,no
2018-1-15,300,female,no
2018-2-12,300,female,no
2018-3-19,300,female,no
2018-4-23,200,female,no
2018-6-11,500,female,no
2018-7-25,500,female,no
2018-8-20,500,female,no
2018-11-12,500,female,no
2018-12-24,400,female,no
2019-9-9,500,female,no
2019-5-8,500,female,no
2019-11-11,500,female,no
2019-1-21,400,female,no
2019-6-10,1500,female,no
2019-3-4,500,female,no
2019-3-25,500,female,no
2019-8-5,500,female,no
2020-6-15,500,female,no
2020-3-10,500,female,no
2020-4-10,1000,female,no
2021-5-29,500,female,no
2021-4-25,500,female,no
2022-11-7,1000,female,no
2022-11-25,10000,female,no
2022-8-4,1000,female,no
2023-2-13,500,female,no
2023-5-8,1000,female,no
2023-1-10,5000,female,no
2023-4-18,1000,female,no
2014-12-24,10000,female,no
2015-12-17,10000,female,no
2017-12-18,5000,female,no
2018-12-20,10000,female,no
2019-12-24,5000,female,no
2020-5-12,2000,female,no
