reciept_no,tran_date,fund_code,fund_subcode,customer_id,amount,fund_name,fund_subname,customer_type,gender,birthday,age,flag_member
570000274,2013-10-21,20,560000298,P0614,11400,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000247,2013-10-21,20,560000298,P0798,11600,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000252,2013-10-21,20,560000298,P0918,10600,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000311,2013-10-21,20,560000298,P1042,8400,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000284,2013-10-21,20,560000298,P1044,16100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000292,2013-10-21,20,560000298,P1051,11900,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000270,2013-10-21,20,560000298,P1066,3900,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000305,2013-10-21,20,560000298,P1078,12500,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,male,,,no
570000362,2013-10-25,20,80,P0510,8700,กองทุนบริจาคเพื่อหน่วยงาน,เพื่อซื้อโลหิต,บุคคลธรรมดา,female,,,no
570000053,2013-10-3,10,560000010,P0978,6800,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนเพื่อผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,female,,,no
570000402,2013-10-30,50,560000140,P0064,9500,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน เกื้อกูล วงษ์เกษม,บุคคลธรรมดา,male,,,no
570000385,2013-10-30,10,60,P1033,6900,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
570000386,2013-10-30,50,560000113,P1048,7900,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน อรุณี วัชรานานันท์,บุคคลธรรมดา,female,,,no
570000090,2013-10-5,10,560000294,P0041,8200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000082,2013-10-5,10,560000294,P0149,4800,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000579,2013-11-11,10,10,P0560,13000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000560,2013-11-11,10,10,P0849,10700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
570000559,2013-11-11,10,10,P0865,6600,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
570000569,2013-11-11,10,10,P0947,14300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000582,2013-11-11,10,10,P0947,11600,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000551,2013-11-11,10,10,P1076,9300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000591,2013-11-12,10,10,P0685,13200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000684,2013-11-20,10,40,P0143,13100,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อศูนย์โรคหัวใจ,บุคคลธรรมดา,male,,,no
570000672,2013-11-20,10,560000294,P0444,12900,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570000675,2013-11-20,10,560000294,P0664,12500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000705,2013-11-21,10,560000294,P0024,12100,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570000712,2013-11-22,50,560000093,P0781,10000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน สุเพ็ญ สุวรรณรัมภา,บุคคลธรรมดา,male,,,no
570000713,2013-11-22,50,560000056,P0781,9300,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ศรีชัย สุวรรณรัมภา,บุคคลธรรมดา,male,,,no
570000745,2013-11-28,10,560000010,P0116,9000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนเพื่อผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,male,,,no
570000437,2013-11-4,10,560000294,P0704,8000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000502,2013-11-8,10,10,P0583,9600,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000485,2013-11-8,10,10,P0794,6100,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000487,2013-11-8,10,10,P0849,17300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
570000482,2013-11-8,10,10,P0856,14200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
570000510,2013-11-8,10,10,P1019,6600,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000520,2013-11-8,10,10,P1085,8900,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000830,2013-12-11,10,60,P0313,8700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
570000895,2013-12-14,10,560000294,P0100,12800,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000886,2013-12-14,10,560000294,P0148,10000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001007,2013-12-14,10,560000294,P0397,11100,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570001015,2013-12-14,10,560000294,P0580,10200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570000876,2013-12-14,10,560000294,P0623,10100,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000961,2013-12-14,10,560000294,P0985,14700,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570001046,2013-12-16,10,560000294,P0146,9500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001102,2013-12-16,10,560000294,P0449,15200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570001049,2013-12-16,10,10,P0511,5200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570001038,2013-12-16,10,560000294,P0848,12100,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570001083,2013-12-16,10,560000294,P0875,10700,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001082,2013-12-16,10,560000294,P1005,11000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001134,2013-12-17,10,560000294,P0170,11500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001120,2013-12-17,10,560000294,P0856,8600,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001169,2013-12-18,50,560000184,P0240,9200,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน กิตยาภรณ์,บุคคลธรรมดา,female,,,no
570001170,2013-12-18,50,550000059,P0240,6900,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ทินนาถ กิตยาภรณ์,บุคคลธรรมดา,female,,,no
570001144,2013-12-18,10,560000294,P0517,6800,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001172,2013-12-18,10,60,P0865,11200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,male,,,no
570001177,2013-12-18,10,60,P1033,11700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
570000766,2013-12-2,10,60,P0785,10400,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,male,,,no
570001201,2013-12-20,10,560000294,P0233,13200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001212,2013-12-20,10,560000294,P0252,16900,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570001285,2013-12-25,10,60,P0990,8700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,male,,,no
570000817,2013-12-7,10,560000294,P0985,2700,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
560000084,2013-7-10,10,60,P0316,13500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
560000152,2013-7-18,10,60,P0337,7900,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,male,,,no
560000181,2013-7-25,10,50,P0062,8000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,male,,,no
560000182,2013-7-25,10,50,P0062,13600,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,male,,,no
560000193,2013-7-29,10,560000010,P1028,9300,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนเพื่อผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,male,,,no
560000206,2013-7-31,10,10,P0227,6300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
560000316,2013-8-13,10,10,P0685,10800,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
560000335,2013-8-14,10,10,P0227,9800,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
560000364,2013-8-19,10,60,P0343,10300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
560000370,2013-8-19,10,60,P1060,11500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
560000387,2013-8-21,10,10,P0227,9000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
560000398,2013-8-22,50,560000092,P0946,12300,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน สุพัฒน์ อุปนิกขิต,บุคคลธรรมดา,female,,,no
560000280,2013-8-7,10,10,P0227,9500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
560000302,2013-8-9,10,10,P0205,11300,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
560000645,2013-9-27,50,560000093,P0853,13800,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน สุเพ็ญ สุวรรณรัมภา,บุคคลธรรมดา,male,,,no
560000470,2013-9-3,10,560000010,P0848,11700,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนเพื่อผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,female,,,no
560000683,2013-9-30,10,50,P1045,9200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,female,,,no
560000482,2013-9-4,10,10,P0227,14000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
560000481,2013-9-4,10,50,P1033,13500,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อซื้อโลงศพ / ผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,female,,,no
580000008,2014-10-1,20,80,P1027,12000,กองทุนบริจาคเพื่อหน่วยงาน,เพื่อซื้อโลหิต,บุคคลธรรมดา,male,,,no
580000009,2014-10-1,20,570000006,P1027,11000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน ชมรมเพื่อผู้ป่วยทารกแรกเกิด รพ.ธ.,บุคคลธรรมดา,male,,,no
580000171,2014-10-18,20,560000290,P0313,8200,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน เพื่อผู้ป่วยศัลยกรรมระบบประสาท,บุคคลธรรมดา,female,,,no
580000203,2014-10-22,10,560000240,P0757,14700,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยหน่วยโลหิตวิทยา,บุคคลธรรมดา,female,,,no
580000215,2014-10-27,50,560000140,P0064,8300,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน เกื้อกูล วงษ์เกษม,บุคคลธรรมดา,male,,,no
580000217,2014-10-27,50,560000113,P1048,17400,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน อรุณี วัชรานานันท์,บุคคลธรรมดา,female,,,no
580000225,2014-10-28,10,10,P0750,15200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
580000038,2014-10-3,20,570000002,P0154,9500,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,male,,,no
580000039,2014-10-3,10,60,P0577,6900,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
580000055,2014-10-6,10,10,P0575,7900,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,male,,,no
580000328,2014-11-12,10,560000010,P0116,11100,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนเพื่อผู้ป่วยยากไร้ / อนาถา,บุคคลธรรมดา,male,,,no
580000347,2014-11-13,10,560000002,P0498,9400,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการถวายภัตตาหารเพล,บุคคลธรรมดา,male,,,no
580000353,2014-11-14,20,570000012,P0143,9100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน เพื่อผู้ป่วยโรคหัวใจ รพ.ธ.,บุคคลธรรมดา,male,,,no
580000412,2014-11-20,20,570000002,P0086,7200,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000437,2014-11-21,20,560000198,P0716,10100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน นายแพทย์อุดม ลักษณ์วิจารณ์ เพื่อผู้ป่วยจิตเวช,บุคคลธรรมดา,female,,,no
580000457,2014-11-24,10,10,P0135,7700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
580000458,2014-11-24,20,560000282,P0135,4800,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการศูนย์มะเร็งและเครื่องตรวจด้วยสนามแม่เหล็ก(MRI),บุคคลธรรมดา,female,,,no
580000454,2014-11-24,10,10,P0766,9000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
580000455,2014-11-24,20,570000009,P0766,13200,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน ศูนย์ความเป็นเลิศทางด้านโรคภูมิแพ้ โรคหืด และโรคระบบหายใจ รพ.ธ.,บุคคลธรรมดา,female,,,no
580000483,2014-11-27,50,560000056,P0781,8400,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ศรีชัย สุวรรณรัมภา,บุคคลธรรมดา,male,,,no
580000484,2014-11-27,50,560000056,P0781,12200,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ศรีชัย สุวรรณรัมภา,บุคคลธรรมดา,male,,,no
580000280,2014-11-4,10,60,P0337,5000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,male,,,no
570001442,2014-1-15,10,10,P0661,10100,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
580000596,2014-12-11,20,570000002,P0327,11900,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000612,2014-12-15,10,570000013,P0146,11200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน ปันน้ำใจ ให้ชีวิต (ดำเนินงาน รพ.),บุคคลธรรมดา,male,,,no
580000632,2014-12-16,10,570000013,P0493,10600,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน ปันน้ำใจ ให้ชีวิต (ดำเนินงาน รพ.),บุคคลธรรมดา,female,,,no
580000650,2014-12-16,10,570000013,P0691,8200,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน ปันน้ำใจ ให้ชีวิต (ดำเนินงาน รพ.),บุคคลธรรมดา,female,,,no
580000710,2014-12-18,10,570000014,P0377,7500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน ปันน้ำใจ ให้ชีวิต (อุปกรณ์การแพทย์),บุคคลธรรมดา,female,,,no
580000528,2014-12-2,50,560000184,P0240,6900,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน กิตยาภรณ์,บุคคลธรรมดา,female,,,no
580000529,2014-12-2,50,550000059,P0240,10600,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ทินนาถ กิตยาภรณ์,บุคคลธรรมดา,female,,,no
580000530,2014-12-2,10,60,P0577,7200,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่อดำเนินการของ รพ.ธ.,บุคคลธรรมดา,female,,,no
580000793,2014-12-20,20,570000002,P0080,8700,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,male,,,no
580000810,2014-12-20,20,570000002,P0551,9400,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,male,,,no
580000794,2014-12-20,20,570000002,P0928,16200,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000803,2014-12-20,20,570000002,P0973,8100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000875,2014-12-24,20,570000002,P0024,11000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000935,2014-12-24,20,570000002,P0060,10500,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000920,2014-12-24,20,570000002,P0080,7100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,male,,,no
580000909,2014-12-24,20,570000002,P0089,10000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000960,2014-12-24,10,570000013,P0093,14900,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน ปันน้ำใจ ให้ชีวิต (ดำเนินงาน รพ.),บุคคลธรรมดา,female,,,no
580000876,2014-12-24,20,570000002,P0094,11700,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
580000955,2014-12-24,20,570000002,P0108,10400,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน โครงการจัดตั้งศูนย์ไตเทียมเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระเทพฯ,บุคคลธรรมดา,female,,,no
